,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
378,Business and administration,Digital Business and Innovation,DC241,509,,,,509,,533,8,Dublin City University,,,
379,Arts,Arts (Joint Honours) - Media Studies,DC291,350,,,,350,,440,8,Dublin City University,,,
380,Arts,Arts (Joint Honours) - Law,DC292,400,,,,400,,440,8,Dublin City University,,,
381,Arts,Arts (Joint Honours) - International Languages,DC293,379,,,,379,,467,8,Dublin City University,,,
382,Environment,Climate and Environmental Sustainability,DC294,475,,,,475,,489,8,Dublin City University,,,
383,Arts,Arts (Joint Honours) - Politics,DC295,349,,,,349,,409,8,Dublin City University,,,
385,Business and administration,Arts Management,DL822,254,,,,254,,356,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
386,Business and administration,Business Management,DL823,220,,,,220,,318,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
387,Social and behavioural sciences,Applied Psychology,DL825,418,,413,,413,,462,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
388,Arts,Graphic Design,DL826,591,,,,591,,824,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
389,Arts,Art,DL827,574,,,,574,,906,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
390,Arts,Animation,DL832,989,,,,989,,1098,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
391,Arts,Photography and Visual Media,DL833,671,,671,,665,,877,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,
392,Information and Communication Technologies (ICTs),Creative Computing,DL836,235,,,,235,,339,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
393,Humanities (except languages),New Media Studies,DL837,298,,293,,293,,359,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
394,Arts,Creative Music Production,DL838,713,,,,713,,979,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
395,Information and Communication Technologies (ICTs),Interaction and User Experience Design,DL839,757,,,,757,,1087,8,"Dun Laoghaire Institute of Art, Design and Technology",#,avp,
396,Business and administration,Digital Marketing,DL840,210,,,,210,,347,8,"Dun Laoghaire Institute of Art, Design and Technology",,,
397,Arts,English and Equality Studies,DL841,277,,277,,277,,357,8,"Dun Laoghaire Institute of Art, Design and Technology",,avp,
398,Arts,Film,DL843,987,,874,,874,,1000,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
399,Arts,Television,DL844,566,,,,566,,947,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
400,Arts,Design for Film (degree options),DL845,628,,,,630,,900,8,"Dun Laoghaire Institute of Art, Design and Technology",#,,
401,Business and administration,Business,GC200,269,,242,,242,,377,8,Griffith College,,avp,
402,Business and administration,Accounting and Finance,GC201,260,,226,,226,,270,8,Griffith College,,avp,
403,Information and Communication Technologies (ICTs),Computing Science,GC230,300,,289,,289,,351,8,Griffith College,,avp,
404,Journalism and information,Communications and Media Production,GC250,,,,,,,,8,Griffith College,,,
405,Business and administration,Business,GC300,264,,264,,264,,377,8,Griffith College,,avp,
406,Business and administration,Accounting and Finance,GC301,,,251,,251,,251,8,Griffith College,,avp,
407,Business and administration,Business - HRM,GC302,377,,377,,329,,377,8,Griffith College,,avp,
408,Business and administration,Business (Marketing),GC307,289,,270,,270,,289,8,Griffith College,,avp,
410,Business and administration,Business,GC400,250,,228,,228,,318,8,Griffith College,,avp,
411,Business and administration,Accounting and Finance,GC401,242,,242,,242,,337,8,Griffith College,,avp,
412,Business and administration,Business (HRM),GC402,,,,,,,0,8,Griffith College,,,
413,Law,Law,GC403,245,,242,,242,,319,8,Griffith College,,avp,
414,Business and administration,Business (Marketing),GC407,264,,264,,176,,318,8,Griffith College,,avp,
417,Information and Communication Technologies (ICTs),Computing Science,GC430,251,,251,,251,,325,8,Griffith College,,avp,
419,Journalism and information,Communications and Media Production,GC450,225,,225,,225,,321,8,Griffith College,,avp,
421,Arts,Design Communication (portfolio),GC462,300,,,,300,,300,8,Griffith College,#,avp,
426,Arts,Interior Architecture (portfolio),GC489,288,,274,,274,,429,8,Griffith College,#,avp,
428,Arts,Fashion Design (portfolio),GC494,351,,,,309,,588,8,Griffith College,#,avp,
430,Business and administration,Business,BY001,210,,210,,210,,323,8,IBAT College Dublin,,avp,
432,Business and administration,Accounting and Finance,ID001,,,,,,,0,8,ICD Business School,,avp,
433,Business and administration,Business Studies,ID002,,,,,273,,340,8,ICD Business School,,avp,
434,Arts,"First Year Art and Design (Common Entry,portfolio)",AD101,554,,,,554,,604,8,National College of Art and Design,#,,
435,Arts,Graphic Design and Moving Image Design (portfolio),AD102,538,,,,538,,625,8,National College of Art and Design,#,,
436,Arts,Textile and Surface Design and Jewellery and Objects (portfolio),AD103,505,,,,505,,581,8,National College of Art and Design,#,,
437,Education,"Education and Design or Fine Art (Second Level Teaching,portfolio))",AD202,591,,,,591,,620,8,National College of Art and Design,#,,
438,Arts,Fine Art (portfolio),AD204,514,,,,514,,583,8,National College of Art and Design,#,,
439,Arts,Fashion Design (portfolio),AD211,760,,679,,679,,679,8,National College of Art and Design,#,,
440,Arts,Product Design (portfolio),AD212,413,,,,413,,569,8,National College of Art and Design,#,,
441,Arts,Visual Culture,AD215,337,,300,,300,,380,8,National College of Art and Design,,,
442,Arts,Illustration (portfolio),AD217,738,,,,738,,,8,National College of Art and Design,#,,
443,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,444,,,,444,,488,8,National College of Art and Design,#,,
444,Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,271,,,,271,,334,8,National College of Ireland (NCI),,,
445,Business and administration,Human Resource Management,NC005,301,,,,301,,360,8,National College of Ireland (NCI),,,
446,Business and administration,Business,NC009,300,,,,300,,371,8,National College of Ireland (NCI),,,
447,Social and behavioural sciences,Psychology,NC010,420,,,,420,,465,8,National College of Ireland (NCI),,,
448,Business and administration,Marketing Practice,NC020,270,,,,270,,329,8,National College of Ireland (NCI),,,
449,Business and administration,Accounting and Finance,NC022,330,,,,330,,390,8,National College of Ireland (NCI),,,
450,Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,266,,,,266,,356,8,National College of Ireland (NCI),,,
451,Education,Early Childhood Education and Care,NC030,251,,251,,251,,308,8,National College of Ireland (NCI),,avp,
455,Health,Medicine - Undergraduate Entry (HPAT required),RC001,741,,740,*,740,*,741,8,RCSI University of Medicine & Health Sciences,#,,
456,Health,Physiotherapy,RC004,589,*,589,*,589,*,589,8,RCSI University of Medicine & Health Sciences,,,
457,Health,Pharmacy,RC005,613,*,613,,602,*,613,8,RCSI University of Medicine & Health Sciences,,,
458,Health,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,62,*,66,8,RCSI University of Medicine & Health Sciences,#,,
460,Education,Montessori Education,NM801,262,,,,262,,320,8,St Nicholas Montessori College Ireland,,avp,
461,Social and behavioural sciences,Psychology,NM802,228,,,,228,,338,8,St Nicholas Montessori College Ireland,,avp,
528,Environment,Sustainable Energy Engineering,TU801,235,,,,235,,329,8,Technological University Dublin,,,
529,Engineering and engineering trades,Electrical Services and Energy Management,TU802,309,,,,290,,359,8,Technological University Dublin,,,
530,Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,270,,,,270,,361,8,Technological University Dublin,,,
531,Engineering and engineering trades,Engineering (General Entry),TU805,466,,465,,465,,499,8,Technological University Dublin,,,
532,Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,274,,,,274,,339,8,Technological University Dublin,,,
533,Engineering and engineering trades,Mechatronic Engineering,TU810,271,,,,271,,399,8,Technological University Dublin,,,
534,Arts,Product Design,TU811,440,,434,,434,,479,8,Technological University Dublin,,,
535,Manufacturing and processing,"Design,Technology and Innovation",TU812,278,,,,278,,335,8,Technological University Dublin,,,
536,Transport services,Sustainable Transport Management,TU814,253,,253,,253,,349,8,Technological University Dublin,,avp,
537,Engineering and engineering trades,Mechanical Engineering (General Entry),TU828,300,,,,300,,386,8,Technological University Dublin,,,
538,Engineering and engineering trades,Electronic Engineering (General Entry),TU829,248,,248,,243,,354,8,Technological University Dublin,,avp,
539,Architecture and construction,Architectural Technology,TU831,423,,,,423,,455,8,Technological University Dublin,,,
540,Architecture and construction,Architecture (Suitability Test and Interview),TU832,644,,638,,638,,682,8,Technological University Dublin,#,,
541,Architecture and construction,Construction Management,TU833,396,,,,396,,429,8,Technological University Dublin,,,
542,Architecture and construction,Geographic Science,TU834,315,,,,315,,370,8,Technological University Dublin,,,
543,Architecture and construction,Planning and Environmental Management,TU835,330,,,,330,,393,8,Technological University Dublin,,,
544,Architecture and construction,Property Economics (Valuation Surveying),TU836,411,,,,411,,444,8,Technological University Dublin,,,
545,Architecture and construction,Quantity Surveying and Construction Economics,TU837,413,,,,413,,455,8,Technological University Dublin,,,
546,Environment,Sustainable Timber Technology,TU838,307,,271,,271,,385,8,Technological University Dublin,,avp,
547,Environment,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",TU851,400,,,,400,,464,8,Technological University Dublin,,,
548,Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,477,,,,477,,499,8,Technological University Dublin,,,
549,Biological and related sciences,Science (General Entry),TU854,510,,,,510,,532,8,Technological University Dublin,,,
550,Physical sciences,Science with Nanotechnology,TU855,322,,,,322,,382,8,Technological University Dublin,,,
551,Information and Communication Technologies (ICTs),Computer Science,TU856,499,,,,499,,531,8,Technological University Dublin,,,
552,Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,403,,,,403,,443,8,Technological University Dublin,,,
553,Information and Communication Technologies (ICTs),Computer Science (International),TU858,395,,,,395,,444,8,Technological University Dublin,,,
554,Information and Communication Technologies (ICTs),Computing,TU859,251,,,,251,,336,8,Technological University Dublin,,,
555,Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,270,,,,270,,356,8,Technological University Dublin,,,
556,Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,235,,235,,235,,370,8,Technological University Dublin,,avp,
557,Information and Communication Technologies (ICTs),Computing with Artificial Intelligence Machine Learning,TU862,262,,,,262,,310,8,Technological University Dublin,,,
558,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,282,,,,282,,346,8,Technological University Dublin,,,
559,Biological and related sciences,DNA and Forensic Analysis,TU864,500,,441,,441,,465,8,Technological University Dublin,,,
560,Information and Communication Technologies (ICTs),Cloud Computing,TU865,235,,,,235,,308,8,Technological University Dublin,,,
561,Health,Biomedical and Molecular Diagnostics,TU866,522,,,,522,,540,8,Technological University Dublin,,,
562,Health,Biomedical Science,TU867,576,,566,*,565,,578,8,Technological University Dublin,,,
563,Health,Clinical Measurement Science,TU868,542,,,,542,,554,8,Technological University Dublin,,,
564,Hygiene and occupational health services,Environmental Health,TU869,387,,,,387,,434,8,Technological University Dublin,,,
565,Health,Human Nutrition and Dietetics,TU870,601,*,,,600,,613,8,Technological University Dublin,,,
566,Health,Optometry,TU871,532,,,,532,,544,8,Technological University Dublin,,,
567,Biological and related sciences,Public Health Nutrition,TU872,487,,,,487,,521,8,Technological University Dublin,,,
568,Mathematics and statistics,Mathematical Sciences,TU874,294,,294,,294,,434,8,Technological University Dublin,,avp,
569,Biological and related sciences,Pharmaceutical Healthcare,TU875,451,,,,451,,477,8,Technological University Dublin,,,
570,Biological and related sciences,Pharmaceutical Science,TU876,445,,,,445,,474,8,Technological University Dublin,,,
571,Physical sciences,Physics Technology,TU877,314,,314,,314,,422,8,Technological University Dublin,,avp,
572,Physical sciences,Physics with Energy and Environment,TU878,339,,,,339,,408,8,Technological University Dublin,,,
573,Health,Physics with Medical Physics and Bioengineering,TU879,346,,,,346,,430,8,Technological University Dublin,,,
574,Physical sciences,Physics with Data Science,TU880,412,,,,412,,532,8,Technological University Dublin,,,
575,Manufacturing and processing,Food Innovation,TU881,309,,,,309,,423,8,Technological University Dublin,,,
576,Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,380,,,,380,,447,8,Technological University Dublin,,,
577,Business and administration,Business (options),TU902,270,,,,270,,327,8,Technological University Dublin,,,
578,Business and administration,Business and Management,TU903,477,,,,477,,509,8,Technological University Dublin,,,
579,Business and administration,Business and Law,TU904,462,,,,462,,486,8,Technological University Dublin,,,
580,Social and behavioural sciences,Economics and Finance,TU905,460,,,,460,,488,8,Technological University Dublin,,,
581,Business and administration,Human Resource Management,TU906,386,,377,,377,,412,8,Technological University Dublin,,,
582,Business and administration,Logistics and Supply Chain Management,TU907,300,,,,300,,367,8,Technological University Dublin,,,
583,Business and administration,Accounting,TU910,420,,,,420,,462,8,Technological University Dublin,,,
584,Information and Communication Technologies (ICTs),Business Analytics,TU912,331,,311,,311,,367,8,Technological University Dublin,,,
585,Information and Communication Technologies (ICTs),Business Computing,TU914,322,,,,322,,377,8,Technological University Dublin,,,
586,Law,Law (LLB ) with a Language,TU917,356,,,,356,,451,8,Technological University Dublin,,,
587,Law,Law (LLB),TU918,463,,,,463,,499,8,Technological University Dublin,,,
588,Business and administration,Advertising and Marketing Communications,TU919,219,,,,219,,327,8,Technological University Dublin,,,
589,Business and administration,Digital Marketing,TU920,270,,,,270,,339,8,Technological University Dublin,,,
590,Business and administration,Digital Marketing Technologies,TU921,230,,,,230,,298,8,Technological University Dublin,,,
591,Business and administration,Marketing,TU922,412,,,,412,,446,8,Technological University Dublin,,,
592,Business and administration,E-Commerce in Retailing,TU924,307,,,,307,,380,8,Technological University Dublin,,,
593,Business and administration,Retail and Services Management,TU925,307,,,,307,,368,8,Technological University Dublin,,,
594,Business and administration,Business (options),TU932,211,,,,211,,337,8,Technological University Dublin,,,
595,Business and administration,Accounting and Finance (campus options),TU933,251,,,,251,,346,8,Technological University Dublin,,,
596,Personal services,Sports Management and Coaching,TU935,300,,,,300,,368,8,Technological University Dublin,,,
597,Biological and related sciences,Sports Science and Health,TU936,484,,,,484,,498,8,Technological University Dublin,,,
598,Personal services,Botanical Cuisine,TU941,311,,,,311,,380,8,Technological University Dublin,,,
599,Personal services,Culinary Arts,TU942,252,,,,252,,348,8,Technological University Dublin,,,
600,Personal services,Culinary Entrepreneurship,TU943,261,,,,261,,387,8,Technological University Dublin,,,
601,Personal services,Culinary Science,TU944,336,,,,336,,393,8,Technological University Dublin,,,
602,Personal services,International Hospitality and Tourism Management,TU951,244,,,,244,,316,8,Technological University Dublin,,,
603,Personal services,International Hospitality Management,TU952,309,,,,309,,398,8,Technological University Dublin,,,
604,Personal services,Tourism and Digital Marketing,TU953,308,,,,308,,366,8,Technological University Dublin,,,
605,Personal services,Event Management,TU954,326,,,,326,,402,8,Technological University Dublin,,,
606,Personal services,Sports and Leisure Management,TU955,275,,,,275,,349,8,Technological University Dublin,,,
607,Arts,Commercial Modern Music (BIMM - assessment/audition),TU961,536,,536,,536,,881,8,Technological University Dublin,#,avp,
608,Arts,"Drama (Performance, audition)",TU962,448,,,,448,,551,8,Technological University Dublin,#,,
609,Arts,Music (audition),TU963,364,,,,364,,561,8,Technological University Dublin,#,avp,
610,Business and administration,International Business and Languages,TU965,357,,,,357,,442,8,Technological University Dublin,,,
611,Arts,Languages and International Tourism,TU967,298,,,,298,,390,8,Technological University Dublin,,,
612,Arts,Design - Visual Communication (portfolio),TU973,700,,,,700,,953,8,Technological University Dublin,#,,
613,Arts,Fine Art (portfolio),TU974,549,,,,549,,704,8,Technological University Dublin,#,,
614,Arts,Interior Design (portfolio),TU975,544,,,,544,,919,8,Technological University Dublin,#,,
615,Arts,Photography (portfolio),TU976,700,,,,700,,952,8,Technological University Dublin,#,,
616,Arts,Creative Industries and Visual Culture,TU978,299,,,,299,,440,8,Technological University Dublin,,,
617,Arts,Creative Digital Media,TU981,280,,,,280,,347,8,Technological University Dublin,,,
618,Arts,Media Production and Digital Arts,TU982,369,,,,369,,412,8,Technological University Dublin,,,
619,Arts,Film and Broadcasting,TU983,462,,453,,453,,496,8,Technological University Dublin,,,
620,Information and Communication Technologies (ICTs),Game Design,TU984,414,,,,414,,455,8,Technological University Dublin,,,
621,Journalism and information,Journalism,TU985,367,,,,367,,409,8,Technological University Dublin,,,
622,Education,Early Childhood Care and Education (campus options),TU989,270,,,,270,,337,8,Technological University Dublin,,,
623,Welfare,Applied Social Studies in Social Care,TU991,326,,,,326,,356,8,Technological University Dublin,,,
624,Social and behavioural sciences,Community Development and Youth Work,TU992,251,,,,251,,311,8,Technological University Dublin,,,
625,Education,Early Childhood Education,TU995,378,,,,378,,412,8,Technological University Dublin,,,
626,Social and behavioural sciences,Social Care,TU996,407,,,,407,,440,8,Technological University Dublin,,,
627,Welfare,Applied Social Care,TU997,320,,,,320,,368,8,Technological University Dublin,,,
628,Arts,Music,TR002,508,,477,*,477,*,513,8,Trinity College Dublin,#,,
629,Humanities (except languages),History,TR003,552,,543,*,531,,558,8,Trinity College Dublin,,,
630,Law,Law,TR004,590,*,589,,589,,601,8,Trinity College Dublin,,,
631,Humanities (except languages),Philosophy,TR005,510,,497,,456,,510,8,Trinity College Dublin,,,
632,Social and behavioural sciences,Psychology,TR006,601,*,590,,578,*,602,8,Trinity College Dublin,,,
633,Health,Clinical Speech and Language Studies,TR007,564,*,,,555,*,577,8,Trinity College Dublin,,,
634,Education,Music Education,TR009,496,,486,,486,,530,8,Trinity College Dublin,#,,
635,Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",TR015,613,*,613,*,613,*,625,8,Trinity College Dublin,,,
636,Languages,Deaf Studies,TR016,389,,,,389,,440,8,Trinity College Dublin,,,
637,Law,Law and French,TR018,602,*,602,,600,*,613,8,Trinity College Dublin,,,
638,Law,Law and German,TR019,577,,567,,567,,588,8,Trinity College Dublin,,,
639,Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,467,,462,,419,,501,8,Trinity College Dublin,,,
640,Languages,Early and Modern Irish,TR022,377,,,,377,,473,8,Trinity College Dublin,,,
641,Languages,English Studies,TR023,546,,541,*,533,,555,8,Trinity College Dublin,,,
642,Humanities (except languages),European Studies,TR024,566,,,,566,,589,8,Trinity College Dublin,,,
643,Arts,Drama and Theatre Studies,TR025,543,,519,,509,,552,8,Trinity College Dublin,#,,
644,Humanities (except languages),Ancient and Medieval History and Culture,TR028,498,,463,,382,,474,8,Trinity College Dublin,,,
645,Mathematics and statistics,Mathematics,TR031,579,,578,,577,,613,8,Trinity College Dublin,,,
646,Engineering and engineering trades,Engineering,TR032,556,,555,,554,*,581,8,Trinity College Dublin,,,
647,Information and Communication Technologies (ICTs),Computer Science,TR033,566,*,549,,543,,578,8,Trinity College Dublin,,,
648,Business and administration,Management Science and Information Systems Studies,TR034,625,*,625,*,625,*,625,8,Trinity College Dublin,,,
649,Physical sciences,Theoretical Physics,TR035,590,,589,*,589,,613,8,Trinity College Dublin,,,
650,Engineering and engineering trades,Engineering with Management,TR038,589,*,589,*,589,*,613,8,Trinity College Dublin,,,
651,Information and Communication Technologies (ICTs),"Computer Science, Linguistics and a Language",TR039,443,,,,443,,531,8,Trinity College Dublin,,,
652,Languages,Middle Eastern and European Languages and Cultures,TR040,520,,499,,397,,531,8,Trinity College Dublin,,,
653,Humanities (except languages),Religion,TR041,417,,,,417,,476,8,Trinity College Dublin,,,
654,Arts,Film,TR042,531,,522,,518,,532,8,Trinity College Dublin,,,
655,Humanities (except languages),History of Art and Architecture,TR043,498,,486,,467,,519,8,Trinity College Dublin,,,
656,Health,Medicine (HPAT required),TR051,743,*,743,*,743,,751,8,Trinity College Dublin,#,,
657,Health,Dental Science,TR052,625,*,625,*,625,*,625,8,Trinity College Dublin,,,
658,Health,Physiotherapy,TR053,590,*,,,590,*,601,8,Trinity College Dublin,,,
659,Health,Occupational Therapy,TR054,578,*,577,*,577,*,589,8,Trinity College Dublin,,,
660,Health,Radiation Therapy,TR055,577,,566,,566,,577,8,Trinity College Dublin,,,
661,Health,Human Health and Disease,TR056,601,*,,,601,,613,8,Trinity College Dublin,,,
662,Biological and related sciences,Biological and Biomedical Sciences,TR060,578,*,577,*,577,,590,8,Trinity College Dublin,,,
663,Physical sciences,Chemical Sciences,TR061,558,,554,*,542,,564,8,Trinity College Dublin,,,
664,Physical sciences,Geography and Geoscience,TR062,495,,,,490,,531,8,Trinity College Dublin,,,
665,Physical sciences,Physical Sciences,TR063,554,,543,,521,,566,8,Trinity College Dublin,,,
666,Environment,Environmental Science and Engineering,TR064,555,,,,555,,578,8,Trinity College Dublin,,,
667,Health,Pharmacy,TR072,613,*,613,*,613,*,625,8,Trinity College Dublin,,,
668,Business and administration,Global Business,TR080,613,*,,,613,*,625,8,Trinity College Dublin,,,
669,Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,577,,567,*,566,*,589,8,Trinity College Dublin,,,
670,Welfare,Social Studies (Social Work),TR084,497,,487,*,484,*,508,8,Trinity College Dublin,,,
671,Business and administration,Business Studies and French,TR085,564,,,,564,,577,8,Trinity College Dublin,,,
672,Business and administration,Business Studies and German,TR086,530,,,,530,,533,8,Trinity College Dublin,,,
673,Business and administration,Business Studies and Russian,TR087,487,,,,487,,521,8,Trinity College Dublin,,,
674,Business and administration,Business Studies and Polish,TR089,391,,,,391,,432,8,Trinity College Dublin,,,
675,Business and administration,Business Studies and Spanish,TR090,566,,,,566,,589,8,Trinity College Dublin,,,
676,Health,General Nursing (Meath and St James`s),TR091,462,,456,*,454,*,487,8,Trinity College Dublin,,,
677,Health,General Nursing (Adelaide School of Nursing),TR093,473,,,,473,,484,8,Trinity College Dublin,#,,
678,Health,Mental Health Nursing,TR095,442,,,,432,,455,8,Trinity College Dublin,,,
679,Health,Intellectual Disability Nursing,TR097,412,,410,,401,,419,8,Trinity College Dublin,,,
680,Arts,Ancient History and Archaeology/Geography,TR111,496,,,,509,,530,8,Trinity College Dublin,,,
681,Arts,Ancient History and Archaeology/History,TR112,577,,,,577,,577,8,Trinity College Dublin,,,
682,Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,528,,,,528,,541,8,Trinity College Dublin,,,
683,Arts,Ancient History and Archaeology/Modern Language,TR114,507,,,,507,,512,8,Trinity College Dublin,,,
684,Arts,Ancient History and Archaeology/Religion,TR117,494,,,,494,,625,8,Trinity College Dublin,,,
685,Arts,Classical Civilisation/English Literature,TR166,552,,,,552,,567,8,Trinity College Dublin,,,
686,Arts,Classical Civilisation/History of Art and Architecture,TR173,420,,,,420,,487,8,Trinity College Dublin,,,
687,Arts,Classical Civilisation/Modern Language,TR177,484,,,,484,,543,8,Trinity College Dublin,,,
688,Arts,Classical Civilisation/Philosophy,TR179,508,,,,521,,522,8,Trinity College Dublin,,,
689,Information and Communication Technologies (ICTs),Computer Science/Business Studies,TR188,584,,,,584,,602,8,Trinity College Dublin,,,
690,Arts,Economics/Geography,TR198,968,,956,,954,,,8,Trinity College Dublin,,,
691,Arts,Economics/History,TR202,601,,,,601,,625,8,Trinity College Dublin,,,
692,Arts,Economics/Mathematics,TR207,613,*,,,613,,625,8,Trinity College Dublin,,,
693,Arts,Economics/Modern Language,TR208,589,,,,589,,611,8,Trinity College Dublin,,,
694,Arts,Economics/Philosophy,TR209,588,,,,589,,611,8,Trinity College Dublin,,,
695,Arts,Economics/Sociology,TR212,589,,,,589,,606,8,Trinity College Dublin,,,
696,Social and behavioural sciences,Social Policy/Economics,TR214,611,,,,611,,611,8,Trinity College Dublin,,,
697,Arts,Classical Languages/English Literature,TR228,555,,,,555,,583,8,Trinity College Dublin,,,
698,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/Linguistics,TR230,501,,,,501,,501,8,Trinity College Dublin,,,
699,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,613,,,,613,,613,8,Trinity College Dublin,,,
700,Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,583,,,,583,,583,8,Trinity College Dublin,,,
701,Arts,Classical Languages/Modern Language,TR239,543,,,,543,,558,8,Trinity College Dublin,,,
702,Information and Communication Technologies (ICTs),Computer Science/Geography,TR240,482,,,,482,,541,8,Trinity College Dublin,,,
703,Information and Communication Technologies (ICTs),Computer Science/Linguistics,TR241,495,,,,495,,532,8,Trinity College Dublin,,,
704,Arts,English Literature/History,TR262,576,*,,,576,,600,8,Trinity College Dublin,,,
705,Arts,English Literature/History of Art and Architecture,TR263,571,,,,571,,576,8,Trinity College Dublin,,,
706,Arts,English Literature/Philosophy,TR269,555,,,,555,,584,8,Trinity College Dublin,,,
707,Arts,English Literature/Sociology,TR272,553,,,,553,,567,8,Trinity College Dublin,,,
708,Arts,English Literature/Drama Studies,TR276,555,,,,555,,589,8,Trinity College Dublin,#,,
709,Arts,English Literature/Modern Language,TR277,554,,,,554,,586,8,Trinity College Dublin,,,
710,Arts,Film/Drama Studies,TR311,578,,,,578,,578,8,Trinity College Dublin,#,,
711,Arts,Film/English Literature,TR312,576,,,,576,,590,8,Trinity College Dublin,,,
712,Arts,Film/Music,TR320,584,,,,584,,601,8,Trinity College Dublin,#,,
713,Arts,Geography/History,TR322,578,,,,613,,613,8,Trinity College Dublin,,,
714,Arts,Drama Studies/Modern Language,TR323,495,,,,495,,589,8,Trinity College Dublin,#,,
715,Arts,Film/Modern Language,TR324,577,,,,577,,589,8,Trinity College Dublin,,,
716,Arts,Film/History,TR325,578,,,,613,,613,8,Trinity College Dublin,,,
717,Arts,Geography/Modern Language,TR326,451,,,,451,,500,8,Trinity College Dublin,,,
718,Social and behavioural sciences,Political Science/Geography,TR328,564,*,,,564,,590,8,Trinity College Dublin,,,
719,Arts,Geography/Sociology,TR332,522,*,,,522,,554,8,Trinity College Dublin,,,
720,Arts,History/History of Art and Architecture,TR443,581,,,,581,,613,8,Trinity College Dublin,,,
721,Arts,History/Modern Language,TR447,576,,,,576,,576,8,Trinity College Dublin,,,
722,Arts,History/Philosophy,TR449,579,,,,579,,590,8,Trinity College Dublin,,,
723,Arts,History/Religion,TR454,,,,,,,,8,Trinity College Dublin,,,
724,Arts,History of Art and Architecture/Modern Language,TR455,451,,,,451,,512,8,Trinity College Dublin,,,
725,Social and behavioural sciences,History/Political Science,TR457,576,*,,,576,,590,8,Trinity College Dublin,,,
726,Arts,History of Art and Architecture/Philosophy,TR479,509,,,,519,,531,8,Trinity College Dublin,,,
727,Social and behavioural sciences,Sociology/History of Art and Architecture,TR482,522,,,,522,,541,8,Trinity College Dublin,,,
728,Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,543,,,,543,,543,8,Trinity College Dublin,,,
729,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,544,,,,544,,544,8,Trinity College Dublin,,,
730,Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,576,,,,576,,580,8,Trinity College Dublin,,,
731,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,590,,,,590,,590,8,Trinity College Dublin,,,
732,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,8,Trinity College Dublin,#,,
733,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,999,,949,,949,,,8,Trinity College Dublin,,,
734,Business and administration,Business Studies/Law,TR580,625,,,,625,,625,8,Trinity College Dublin,,,
735,Arts,History/Law,TR581,625,,,,625,,625,8,Trinity College Dublin,,,
736,Social and behavioural sciences,Political Science/Law,TR582,625,*,,,625,,625,8,Trinity College Dublin,,,
737,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",TR587,,,,,,,,8,Trinity College Dublin,,,
738,Arts,Linguistics/Modern Language,TR588,456,,,,456,,519,8,Trinity College Dublin,,,
739,Arts,Linguistics/Philosophy,TR589,520,,,,520,,553,8,Trinity College Dublin,,,
